#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             3235.94          1.9601e-13                       |         9.26446285e+14      6.84633972e-28                    
             3258.37          2.2797e-13                       |         9.20068804e+14      8.07342457e-28                    
             3273.41          2.4677e-13                       |         9.15841459e+14      8.82007882e-28                    
              3296.1          2.4316e-13                       |         9.09536904e+14      8.81195334e-28                    
             3318.94          2.4016e-13                       |         9.03277730e+14      8.82426970e-28                    
              3326.6          2.4138e-13                       |         9.01197797e+14      8.91008290e-28                    
             3334.26          2.5521e-13                       |         8.99127420e+14      9.46402563e-28                    
             3341.95          2.5948e-13                       |         8.97058481e+14      9.66680773e-28                    
             3349.66          2.4116e-13                       |         8.94993698e+14      9.02580663e-28                    
             3357.38          2.3255e-13                       |         8.92935739e+14      8.74372797e-28                    
             3365.12          2.5628e-13                       |         8.90881927e+14      9.68044056e-28                    
             3372.87           2.477e-13                       |         8.88834906e+14      9.39949470e-28                    
             3380.65          2.1141e-13                       |         8.86789401e+14      8.05944698e-28                    
             3388.44          2.1894e-13                       |         8.84750679e+14      8.38501819e-28                    
             3396.25          2.5441e-13                       |         8.82716110e+14      9.78842407e-28                    
